Number,Treatment,Rep,Cq_value,Log10_gene_copies,Gene_copies,Cell_equivalent,Other,Tissue,Experimental_pair
359,PMB,PMB_63,36.698494,0.361318675,2.297834127,0.765944709,8,Psyllid,TF
360,PMB,PMB_64,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
361,PMB,PMB_65,37.70032,0.083195913,1.211144367,0.403714789,8,Psyllid,TF
362,PMB,PMB_66,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
363,PMB,PMB_67,37.810448,0.052622637,1.128814649,0.37627155,8,Psyllid,TF
364,PMB,PMB_68,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
365,PMB,PMB_69,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
366,PMB,PMB_70,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
367,PMB,PMB_71,39.451008,-0.402822798,0.395527972,0.131842657,8,Psyllid,TF
368,PMB,PMB_72,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
369,PMB,PMB_73,38.342514,-0.09508731,0.803364598,0.267788199,8,Psyllid,TF
370,PMB,PMB_74,37.4158,0.162183171,1.452724199,0.4842414,8,Psyllid,TF
371,PMB,PMB_75,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
372,PMB,PMB_76,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
373,PMB,PMB_77,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
374,PMB,PMB_78,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
375,PMB,PMB_79,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
376,PMB,PMB_80,36.60229,0.388026429,2.443579252,0.814526417,8,Psyllid,TF
377,PMB,PMB_81,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
378,PMB,PMB_82,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
379,PMB,PMB_83,40,-0.55523167,0.278463533,0.092821178,8,Psyllid,TF
380,PMB,PMB_84,35.029354,0.82469837,6.678798953,2.226266318,8,Psyllid,TF
381,PMB,PMB_85,29.173206,2.450457789,282.1355347,94.04517822,8,Psyllid,TF
382,PMB,PMB_86,31.896519,1.694422975,49.4792349,16.4930783,8,Psyllid,TF
383,PMB,PMB_87,25.461977,3.480753727,3025.197459,1008.399153,8,Psyllid,TF
384,PMB,PMB_88,37.036366,0.277848452,1.896044175,0.632014725,8,Psyllid,TF
385,PMB,PMB_89,38.3903,-0.112536763,0.771726187,0.257242062,8,Psyllid,TF
386,PMB,PMB_90,37.026253,0.280764373,1.908817348,0.636272449,8,Psyllid,TF
387,PMB,PMB_91,37.977978,0.006349691,1.01472811,0.338242703,8,Psyllid,TF
388,PMB,PMB_92,38.18919,-0.054549911,0.881962438,0.293987479,8,Psyllid,TF
389,PMB,PMB_93,40,-0.576668012,0.265052551,0.08835085,8,Psyllid,TF
390,PMB,PMB_94,40,-0.576668012,0.265052551,0.08835085,8,Psyllid,TF
391,PMB,PMB_95,40,-0.576668012,0.265052551,0.08835085,8,Psyllid,TF
392,PMB,PMB_96,34.479546,1.015066605,10.35300932,3.451003108,8,Psyllid,TF
393,PMB,PMB_97,37.5018,0.143648002,1.392028099,0.464009366,8,Psyllid,TF
394,PMB,PMB_98,40,-0.576668012,0.265052551,0.08835085,8,Psyllid,TF
395,PMB,PMB_99,36.873184,0.324899371,2.112999389,0.70433313,8,Psyllid,TF
396,PMB,PMB_100,39.007378,-0.290461334,0.51231688,0.170772293,8,Psyllid,TF
397,PMB,PMB_101,37.147552,0.245789747,1.761123235,0.587041078,8,Psyllid,TF
398,PMB,PMB_102,40,-0.576668012,0.265052551,0.08835085,8,Psyllid,TF
399,PMB,PMB_103,36.830734,0.33713915,2.173397434,0.724465811,8,Psyllid,TF
400,PMB,PMB_104,36.688553,0.378134767,2.388552367,0.796184122,8,Psyllid,TF
401,PMB,PMB_105,35.18002,0.813096131,6.502736117,2.167578706,8,Psyllid,TF
402,PMB,PMB_106,38.110603,-0.031890606,0.929200412,0.309733471,8,Psyllid,TF
403,PMB,PMB_107,40,-0.576668012,0.265052551,0.08835085,8,Psyllid,TF
404,PMB,PMB_108,40,-0.576668012,0.265052551,0.08835085,8,Psyllid,TF
405,PMB,PMB_109,40,-0.576668012,0.265052551,0.08835085,8,Psyllid,TF
406,PMB,PMB_110,33.86448,1.192411049,15.57439012,5.191463372,8,Psyllid,TF
407,PMB,PMB_111,37.65722,0.098835131,1.255553233,0.418517744,8,Psyllid,TF
408,PMB,PMB_112,36.147743,0.534068681,3.420335289,1.140111763,8,Psyllid,TF
409,PMB,PMB_113,37.536663,0.133595813,1.360178211,0.453392737,8,Psyllid,TF
410,PMB,PMB_114,37.950798,0.01418661,1.033205263,0.344401754,8,Psyllid,TF
411,PMB,PMB_115,37.764587,0.067877573,1.169169758,0.389723253,8,Psyllid,TF
412,PMB,PMB_116,35.534836,0.710790612,5.137958734,1.712652911,8,Psyllid,TF
413,PMB,PMB_117,33.678562,1.246017531,17.62047172,5.873490572,8,Psyllid,TF
414,PMB,PMB_118,37.297634,0.202516003,1.594101618,0.531367206,8,Psyllid,TF
415,PMB,PMB_119,40,-0.576668012,0.265052551,0.08835085,8,Psyllid,TF
416,PMB,PMB_120,36.81762,0.340920362,2.192402871,0.730800957,8,Psyllid,TF
417,PMB,PMB_121,38.607216,-0.175081022,0.668219243,0.222739748,8,Psyllid,TF
418,PMB,PMB_122,37.40099,0.172714953,1.488383864,0.496127955,8,Psyllid,TF
419,PMB,PMB_123,40,-0.576668012,0.265052551,0.08835085,8,Psyllid,TF
420,PMB,PMB_124,37.53526,0.134000346,1.361445767,0.453815256,8,Psyllid,TF
421,PMB,PMB_125,40,-0.576668012,0.265052551,0.08835085,8,Psyllid,TF
422,PMB,PMB_126,40,-0.576668012,0.265052551,0.08835085,8,Psyllid,TF
423,PMB,PMB_127,30.196,1.549163357,35.41305195,11.80435065,8,Psyllid,TF
424,PMB,PMB_128,37.110,-0.596587326,0.253170252,0.084390084,8,Psyllid,TF
425,PMB,PMB_129,36.143,-0.296491435,0.505252609,0.168417536,8,Psyllid,TF
426,PMB,PMB_130,40.000,-1.493296922,0.032114642,0.010704881,8,Psyllid,TF
427,PMB,PMB_131,39.490,-1.335068272,0.046230834,0.015410278,8,Psyllid,TF
428,PMB,PMB_132,34.960,0.070844712,1.17718498,0.392394993,8,Psyllid,TF
429,PMB,PMB_133,40.000,-1.493296922,0.032114642,0.010704881,8,Psyllid,TF
430,PMB,PMB_134,37.567,-0.738250993,0.1827044,0.060901467,8,Psyllid,TF
431,PMB,PMB_135,40.000,-1.493296922,0.032114642,0.010704881,8,Psyllid,TF
432,PMB,PMB_136,36.340,-0.357374317,0.439162939,0.146387646,8,Psyllid,TF
433,PMB,PMB_137,36.664,-0.458013282,0.348326662,0.116108887,8,Psyllid,TF
434,PMB,PMB_138,40.000,-1.493296922,0.032114642,0.010704881,8,Psyllid,TF
435,PMB,PMB_139,37.379,-0.679928004,0.208964252,0.069654751,8,Psyllid,TF
436,PMB,PMB_140,40.000,-1.493296922,0.032114642,0.010704881,8,Psyllid,TF
437,PMB,PMB_141,40.000,-1.493296922,0.032114642,0.010704881,8,Psyllid,TF
438,PMB,PMB_142,40.000,-1.493296922,0.032114642,0.010704881,8,Psyllid,TF
439,PMB,PMB_143,40.000,-1.493296922,0.032114642,0.010704881,8,Psyllid,TF
440,PMB,PMB_144,40.000,-1.493296922,0.032114642,0.010704881,8,Psyllid,TF
441,PMB,PMB_145,40.000,-1.493296922,0.032114642,0.010704881,8,Psyllid,TF
442,PMB,PMB_146,37.308,-0.657886048,0.219843663,0.073281221,8,Psyllid,TF
443,PMB,PMB_147,36.014,-0.256432473,0.554073689,0.18469123,8,Psyllid,TF
444,PMB,PMB_148,40.000,-1.493296922,0.032114642,0.010704881,8,Psyllid,TF
445,PMB_L,PMB_L_1,29.074,2.477998945,300.6069001,100.2023,8,Leaf,TF
446,PMB_L,PMB_L_2,29.829,2.268398989,185.5235259,61.84117529,8,Leaf,TF
447,PMB_L,PMB_L_3,31.439,1.821437495,66.28839362,22.09613121,8,Leaf,TF
448,PMB_L,PMB_L_4,29.201,2.442741734,277.1671358,92.38904528,8,Leaf,TF
449,PMB_L,PMB_L_5,27.724968,2.85251159,712.051803,237.350601,8,Leaf,TF
450,PMB_L,PMB_L_6,36.543404,0.404374115,2.537313412,0.845771137,8,Leaf,TF
451,PMB_L,PMB_L_7,40,-0.55523167,0.278463533,0.092821178,8,Leaf,TF
452,PMB_L,PMB_L_8,40,-0.55523167,0.278463533,0.092821178,8,Leaf,TF
453,PMB_L,PMB_L_9,40,-0.55523167,0.278463533,0.092821178,8,Leaf,TF
454,PMB_L,PMB_L_10,26.846622,3.096354349,1248.401693,416.1338976,8,Leaf,TF
455,PMB_L,PMB_L_11,36.45643,0.445063722,2.786529992,0.928843331,8,Leaf,TF
456,PMB_L,PMB_L_12,28.768917,2.661635142,458.8123951,152.937465,8,Leaf,TF
457,PMB_L,PMB_L_13,29.089775,2.56912087,370.7839012,123.5946337,8,Leaf,TF
458,PMB_L,PMB_L_14,29.417564,2.474608154,298.2690247,99.42300822,8,Leaf,TF
459,PMB_L,PMB_L_15,40,-0.576668012,0.265052551,0.08835085,8,Leaf,TF
460,PMB_L,PMB_L_16,36.051235,0.561895219,3.646659547,1.215553182,8,Leaf,TF
461,PMB_L,PMB_L_17,25.958572,3.471953175,2964.51174,988.17058,8,Leaf,TF
462,PMB_L,PMB_L_18,25.589745,3.578298541,3787.028217,1262.342739,8,Leaf,TF
463,PMB_L,PMB_L_19,28.218187,2.820429329,661.3469109,220.4489703,8,Leaf,TF
464,PMB_L,PMB_L_20,30.328573,2.21193328,162.9045744,54.30152479,8,Leaf,TF
465,PMB_L,PMB_L_21,40.000,-1.493296922,0.032114642,0.010704881,8,Leaf,TF
466,PMB_L,PMB_L_22,36.163,-0.302586581,0.498211122,0.166070374,8,Leaf,TF
467,PMB_L,PMB_L_23,36.563,-0.426829692,0.374257324,0.124752441,8,Leaf,TF
468,PMB_L,PMB_L_24,37.728,-0.788385365,0.162785094,0.054261698,8,Leaf,TF
469,PMB_L,PMB_L_25,36.133,-0.293337264,0.508935489,0.169645163,8,Leaf,TF
470,PMB_L,PMB_L_26,29.176,1.865760924,73.4109634,24.47032113,8,Leaf,TF
471,PMB_L,PMB_L_27,36.565,-0.427470209,0.37370576,0.124568587,8,Leaf,TF
472,PMB_L,PMB_L_28,34.648,0.167486035,1.470571128,0.490190376,8,Leaf,TF
473,PMB_L,PMB_L_29,34.238,0.294779667,1.971422311,0.65714077,8,Leaf,TF
474,PMB_L,PMB_L_30,31.431,1.165954568,14.65394537,4.884648455,8,Leaf,TF
475,KP04,KP04_1,25.899,3.359429222,2287.858823,762.6196075,9,Psyllid,TG
476,KP04,KP04_2,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
477,KP04,KP04_3,39.321,-0.366730518,0.429803039,0.14326768,9,Psyllid,TG
478,KP04,KP04_4,27.48,2.920518586,832.7575645,277.5858548,9,Psyllid,TG
479,KP04,KP04_5,33.049,1.374476,23.6851424,7.895047466,9,Psyllid,TG
480,KP04,KP04_6,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
481,KP04,KP04_7,36.311,0.468893146,2.943697274,0.981232425,9,Psyllid,TG
482,KP04,KP04_8,37.773,0.063018795,1.156162275,0.385387425,9,Psyllid,TG
483,KP04,KP04_9,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
484,KP04,KP04_10,22.249,4.37272702,23589.95,7863.316666,9,Psyllid,TG
485,KP04,KP04_11,37.43,0.158241026,1.439597309,0.47986577,9,Psyllid,TG
486,KP04,KP04_12,36.965,0.287332389,1.937904581,0.645968194,9,Psyllid,TG
487,KP04,KP04_13,26.263,3.258377058,1812.913395,604.304465,9,Psyllid,TG
488,KP04,KP04_14,24.346,3.790566614,6173.99984,2057.999947,9,Psyllid,TG
489,KP04,KP04_15,38.226,-0.062741179,0.865483557,0.288494519,9,Psyllid,TG
490,KP04,KP04_16,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
491,KP04,KP04_17,35.284,0.754004608,5.675506278,1.891835426,9,Psyllid,TG
492,KP04,KP04_18,36.909,0.302878876,2.008532559,0.669510853,9,Psyllid,TG
493,KP04,KP04_19,36.212,0.496377113,3.136007649,1.045335883,9,Psyllid,TG
494,KP04,KP04_20,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
495,KP04,KP04_21,27.571047,2.895242497,785.6742098,261.8914033,9,Psyllid,TG
496,KP04,KP04_22,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
497,KP04,KP04_23,28.429567,2.656903751,453.8410241,151.2803414,9,Psyllid,TG
498,KP04,KP04_24,28.334946,2.683172039,482.138751,160.712917,9,Psyllid,TG
499,KP04,KP04_25,36.676273,0.367487577,2.330706443,0.776902148,9,Psyllid,TG
500,KP04,KP04_26,31.089127,1.91856778,82.90252913,27.63417638,9,Psyllid,TG
501,KP04,KP04_27,26.825161,3.102312262,1265.646033,421.8820111,9,Psyllid,TG
502,KP04,KP04_28,28.683346,2.586450682,385.8785888,128.6261963,9,Psyllid,TG
503,KP04,KP04_29,34.138855,1.071914994,11.8008963,3.9336321,9,Psyllid,TG
504,KP04,KP04_30,32.98033,1.39353988,24.74798702,8.249329006,9,Psyllid,TG
505,KP04,KP04_31,28.656319,2.593953805,392.6031725,130.8677242,9,Psyllid,TG
506,KP04,KP04_32,31.31562,1.855689737,71.72816764,23.90938921,9,Psyllid,TG
507,KP04,KP04_33,33.59576,1.222686766,16.69885778,5.566285928,9,Psyllid,TG
508,KP04,KP04_34,35.37487,0.728777657,5.355224199,1.785074733,9,Psyllid,TG
509,KP04,KP04_35,37.696095,0.08436884,1.214419803,0.404806601,9,Psyllid,TG
510,KP04,KP04_36,37.125618,0.242742289,1.748808636,0.582936212,9,Psyllid,TG
511,KP04,KP04_37,38.227142,-0.063058216,0.86485198,0.288283993,9,Psyllid,TG
512,KP04,KP04_38,26.679153,3.142846395,1389.461108,463.1537028,9,Psyllid,TG
513,KP04,KP04_39,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
514,KP04,KP04_40,26.66608,3.146475667,1401.12108,467.0403598,9,Psyllid,TG
515,KP04,KP04_41,26.626701,3.157407901,1436.838317,478.9461055,9,Psyllid,TG
516,KP04,KP04_42,39.317287,-0.365699731,0.430824378,0.143608126,9,Psyllid,TG
517,KP04,KP04_43,37.97029,0.008247966,1.019173133,0.339724378,9,Psyllid,TG
518,KP04,KP04_44,32.03087,1.65712501,45.40723012,15.13574337,9,Psyllid,TG
519,KP04,KP04_45,36.620983,0.382836956,2.414554187,0.804851396,9,Psyllid,TG
520,KP04,KP04_46,28.824734,2.547199134,352.5324781,117.510826,9,Psyllid,TG
521,KP04,KP04_47,34.172516,1.062570167,11.54968574,3.849895246,9,Psyllid,TG
522,KP04,KP04_48,26.0128,3.32783654,2127.338206,709.1127352,9,Psyllid,TG
523,KP04,KP04_49,35.03913,0.821984398,6.637192259,2.21239742,9,Psyllid,TG
524,KP04,KP04_50,33.384922,1.281218734,19.10815403,6.369384678,9,Psyllid,TG
525,KP04,KP04_51,37.121166,0.243978235,1.753792607,0.584597536,9,Psyllid,TG
526,KP04,KP04_52,37.58132,0.116232198,1.306869426,0.435623142,9,Psyllid,TG
527,KP04,KP04_53,36.857018,0.317309903,2.076394656,0.692131552,9,Psyllid,TG
528,KP04,KP04_54,36.811943,0.329823436,2.137093072,0.712364357,9,Psyllid,TG
529,KP04,KP04_55,28.609728,2.606888204,404.4717594,134.8239198,9,Psyllid,TG
530,KP04,KP04_56,28.608444,2.607244663,404.8038766,134.9346255,9,Psyllid,TG
531,KP04,KP04_57,28.272495,2.700509425,501.7754684,167.2584895,9,Psyllid,TG
532,KP04,KP04_58,34.649185,0.930239305,8.516071613,2.838690538,9,Psyllid,TG
533,KP04,KP04_59,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
534,KP04,KP04_60,24.869303,3.645289415,4418.648086,1472.882695,9,Psyllid,TG
535,KP04,KP04_61,28.1652,2.730296216,537.3982107,179.1327369,9,Psyllid,TG
536,KP04,KP04_62,24.874685,3.643795286,4403.472476,1467.824159,9,Psyllid,TG
537,KP04,KP04_63,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
538,KP04,KP04_64,28.425547,2.658019766,455.0087687,151.6695896,9,Psyllid,TG
539,KP04,KP04_65,38.405495,-0.112571833,0.77166387,0.25722129,9,Psyllid,TG
540,KP04,KP04_66,31.757,1.733155659,54.09481741,18.0316058,9,Psyllid,TG
541,KP04,KP04_67,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
542,KP04,KP04_68,26.891346,3.083938258,1213.21636,404.4054535,9,Psyllid,TG
543,KP04,KP04_69,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
544,KP04,KP04_70,35.549446,0.680312595,4.789747235,1.596582412,9,Psyllid,TG
545,KP04,KP04_71,36.11662,0.522856112,3.333159619,1.111053206,9,Psyllid,TG
546,KP04,KP04_72,28.115993,2.743956858,554.5706209,184.8568736,9,Psyllid,TG
547,KP04,KP04_73,36.40644,0.44239749,2.769475263,0.923158421,9,Psyllid,TG
548,KP04,KP04_74,26.95057,3.067496738,1168.144956,389.381652,9,Psyllid,TG
549,KP04,KP04_75,24.864817,3.646534799,4431.337205,1477.112402,9,Psyllid,TG
550,KP04,KP04_76,37.617455,0.10620055,1.277028382,0.425676127,9,Psyllid,TG
551,KP04,KP04_77,27.13348,3.016718026,1039.245196,346.4150653,9,Psyllid,TG
552,KP04,KP04_78,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
553,KP04,KP04_79,26.768316,3.118093334,1312.481935,437.4939783,9,Psyllid,TG
554,KP04,KP04_80,36.858974,0.316766886,2.073800076,0.691266692,9,Psyllid,TG
555,KP04,KP04_81,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
556,KP04,KP04_82,40,-0.55523167,0.278463533,0.092821178,9,Psyllid,TG
557,KP04,KP04_83,40,-0.576668012,0.265052551,0.08835085,9,Psyllid,TG
558,KP04,KP04_84,36.54216,0.420344847,2.632357361,0.877452454,9,Psyllid,TG
559,KP04,KP04_85,34.86233,0.904696961,8.029656388,2.676552129,9,Psyllid,TG
560,KP04,KP04_86,31.05423,2.00270169,100.624026,33.541342,9,Psyllid,TG
561,KP04,KP04_87,34.03231,1.144019953,13.9322081,4.644069367,9,Psyllid,TG
562,KP04,KP04_88,37.060417,0.27091373,1.866008984,0.622002995,9,Psyllid,TG
563,KP04,KP04_89,33.495567,1.298781212,19.89670735,6.632235783,9,Psyllid,TG
564,KP04,KP04_90,36.450386,0.446806413,2.797733947,0.932577982,9,Psyllid,TG
565,KP04,KP04_91,35.841152,0.622469292,4.192463521,1.39748784,9,Psyllid,TG
566,KP04,KP04_92,30.786848,2.079797013,120.1702633,40.05675444,9,Psyllid,TG
567,KP04,KP04_93,28.56905,2.719263595,523.9183322,174.6394441,9,Psyllid,TG
568,KP04,KP04_94,27.419212,3.050800992,1124.089761,374.6965869,9,Psyllid,TG
569,KP04,KP04_95,32.040936,1.718200796,52.26377744,17.42125915,9,Psyllid,TG
570,KP04,KP04_96,31.034388,2.008422813,101.9583534,33.98611779,9,Psyllid,TG
571,KP04,KP04_97,30.859602,2.058819561,114.5037106,38.16790353,9,Psyllid,TG
572,KP04,KP04_98,34.869183,0.902721008,7.993206043,2.664402014,9,Psyllid,TG
573,KP04,KP04_99,32.325676,1.636100571,43.26140012,14.42046671,9,Psyllid,TG
574,KP04,KP04_100,30.793411,2.077904677,119.6477888,39.88259626,9,Psyllid,TG
575,KP04,KP04_101,28.482277,2.744283202,554.9875001,184.9958334,9,Psyllid,TG
576,KP04,KP04_102,31.447376,1.889344328,77.50760699,25.835869,9,Psyllid,TG
577,KP04,KP04_103,30.515137,2.158140534,143.9264237,47.97547455,9,Psyllid,TG
578,KP04,KP04_104,36.97965,0.294201603,1.968800011,0.65626667,9,Psyllid,TG
579,KP04,KP04_105,26.93491,3.190441728,1550.392746,516.797582,9,Psyllid,TG
580,KP04,KP04_106,35.833008,0.624817485,4.215193196,1.405064399,9,Psyllid,TG
581,KP04,KP04_107,32.74923,1.513975549,32.65694458,10.88564819,9,Psyllid,TG
582,KP04,KP04_108,31.604954,1.843909232,69.80864888,23.26954963,9,Psyllid,TG
583,KP04,KP04_109,33.533554,1.287828268,19.40118551,6.467061836,9,Psyllid,TG
584,KP04,KP04_110,37.233818,0.220916325,1.663092195,0.554364065,9,Psyllid,TG
585,KP04,KP04_111,40,-0.576668012,0.265052551,0.08835085,9,Psyllid,TG
586,KP04,KP04_112,36.67784,0.38122369,2.40560152,0.801867173,9,Psyllid,TG
587,KP04,KP04_113,34.185566,1.099831036,12.58435718,4.194785726,9,Psyllid,TG
588,KP04,KP04_114,30.879509,2.053079696,113.0003258,37.66677526,9,Psyllid,TG
589,KP04,KP04_115,35.68579,0.66726544,4.647992732,1.549330911,9,Psyllid,TG
590,KP04,KP04_116,36.17317,0.526737212,3.363080109,1.121026703,9,Psyllid,TG
591,KP04,KP04_117,35.34189,0.766423505,5.840143319,1.94671444,9,Psyllid,TG
592,KP04,KP04_118,35.084206,0.840722565,6.929829748,2.309943249,9,Psyllid,TG
593,KP04,KP04_119,36.81651,0.341240413,2.194019145,0.731339715,9,Psyllid,TG
594,KP04,KP04_120,24.227211,3.971163428,9357.577394,3119.192465,9,Psyllid,TG
595,KP04,KP04_121,36.478,-0.400406529,0.397734689,0.13257823,9,Psyllid,TG
596,KP04,KP04_122,36.214,-0.318519427,0.480264597,0.160088199,9,Psyllid,TG
597,KP04,KP04_123,30.370,1.495127234,31.26995342,10.42331781,9,Psyllid,TG
598,KP04,KP04_124,30.229,1.538845271,34.58161493,11.52720498,9,Psyllid,TG
599,KP04,KP04_125,40.000,-1.493296922,0.032114642,0.010704881,9,Psyllid,TG
600,KP04,KP04_126,40.000,-1.493296922,0.032114642,0.010704881,9,Psyllid,TG
601,KP04,KP04_127,35.472,-0.088083416,0.816425543,0.272141848,9,Psyllid,TG
602,KP04,KP04_128,36.180,-0.3078215,0.492241812,0.164080604,9,Psyllid,TG
603,KP04,KP04_129,29.199,1.858403054,72.17770246,24.05923415,9,Psyllid,TG
604,KP04,KP04_130,37.238,-0.636317651,0.231037432,0.077012477,9,Psyllid,TG
605,KP04,KP04_131,32.310,0.893136792,7.818740376,2.606246792,9,Psyllid,TG
606,KP04,KP04_132,39.354,-1.292718781,0.050966079,0.016988693,9,Psyllid,TG
607,KP04,KP04_133,29.732,1.693038419,49.3217433,16.4405811,9,Psyllid,TG
608,KP04,KP04_134,40.000,-1.493296922,0.032114642,0.010704881,9,Psyllid,TG
609,KP04,KP04_135,40.000,-1.493296922,0.032114642,0.010704881,9,Psyllid,TG
610,KP04,KP04_136,35.644,-0.141493918,0.721948274,0.240649425,9,Psyllid,TG
611,KP04,KP04_137,37.175,-0.616655288,0.241737882,0.080579294,9,Psyllid,TG
612,KP04,KP04_138,34.708,0.14881641,1.408693174,0.469564391,9,Psyllid,TG
613,KP04,KP04_139,37.833,-0.820864263,0.15105522,0.05035174,9,Psyllid,TG
614,KP04,KP04_140,29.583,1.739357001,54.87278477,18.29092826,9,Psyllid,TG
615,KP04,KP04_141,40.000,-1.493296922,0.032114642,0.010704881,9,Psyllid,TG
616,KP04,KP04_142,35.813,-0.19392999,0.639837971,0.213279324,9,Psyllid,TG
617,KP04,KP04_143,38.334,-0.976212761,0.10562999,0.035209997,9,Psyllid,TG
618,KP04,KP04_144,35.945,-0.234950037,0.582170189,0.19405673,9,Psyllid,TG
619,KP04,KP04_145,36.399,-0.375718719,0.42099921,0.14033307,9,Psyllid,TG
620,KP04,KP04_146,36.398,-0.375451216,0.421258603,0.140419534,9,Psyllid,TG
621,KP04,KP04_147,40.000,-1.493296922,0.032114642,0.010704881,9,Psyllid,TG
622,KP04,KP04_148,36.601,-0.438511668,0.364324462,0.121441487,9,Psyllid,TG
623,KP04_L,KP04_L_1,27.353,2.955775797,903.1830892,301.0610297,9,Leaf,TG
624,KP04_L,KP04_L_2,29.302,2.414702535,259.8379221,86.61264071,9,Leaf,TG
625,KP04_L,KP04_L_3,32.033,1.656533689,45.34544714,15.11514905,9,Leaf,TG
626,KP04_L,KP04_L_4,29.279,2.421087699,263.6863805,87.89546015,9,Leaf,TG
627,KP04_L,KP04_L_5,31.94845,1.680006108,47.86368234,15.95456078,9,Leaf,TG
628,KP04_L,KP04_L_6,30.953796,1.956137809,90.39362615,30.13120872,9,Leaf,TG
629,KP04_L,KP04_L_7,24.660027,3.703387746,5051.120696,1683.706899,9,Leaf,TG
630,KP04_L,KP04_L_8,26.24,3.264770273,1839.798553,613.2661843,9,Leaf,TG
631,KP04_L,KP04_L_9,28.191175,2.723085145,528.5488653,176.1829551,9,Leaf,TG
632,KP04_L,KP04_L_10,27.64111,2.875791899,751.2628252,250.4209417,9,Leaf,TG
633,KP04_L,KP04_L_11,28.93399,2.614038983,411.186628,137.0622093,9,Leaf,TG
634,KP04_L,KP04_L_12,24.80838,3.803592642,6361.985013,2120.661671,9,Leaf,TG
635,KP04_L,KP04_L_13,31.841106,1.77581858,59.67859365,19.89286455,9,Leaf,TG
636,KP04_L,KP04_L_14,40,-0.576668012,0.265052551,0.08835085,9,Leaf,TG
637,KP04_L,KP04_L_15,27.495983,3.028665302,1068.231307,356.0771024,9,Leaf,TG
638,KP04_L,KP04_L_16,30.283543,2.22491696,167.848305,55.94943498,9,Leaf,TG
639,KP04_L,KP04_L_17,26.618902,3.28155758,1912.306848,637.4356161,9,Leaf,TG
640,KP04_L,KP04_L_18,30.872025,2.055237587,113.563191,37.854397,9,Leaf,TG
641,KP04_L,KP04_L_19,33.32991,1.346545759,22.20985681,7.403285603,9,Leaf,TG
642,KP04_L,KP04_L_20,31.150185,1.9750346,94.41360923,31.47120308,9,Leaf,TG
643,KP04_L,KP04_L_21,25.875,2.89002855,776.2981481,258.7660494,9,Leaf,TG
644,KP04_L,KP04_L_22,30.275,1.524775012,33.47919542,11.15973181,9,Leaf,TG
645,KP04_L,KP04_L_23,28.173,2.176974926,150.3055183,50.10183943,9,Leaf,TG
646,KP04_L,KP04_L_24,34.952,0.073150447,1.183451452,0.394483817,9,Leaf,TG
647,KP04_L,KP04_L_25,27.405,2.415266571,260.175604,86.72520134,9,Leaf,TG
648,KP04_L,KP04_L_26,26.005,2.849779357,707.5862044,235.8620681,9,Leaf,TG
649,KP04_L,KP04_L_27,36.140,-0.295513592,0.5063915,0.168797167,9,Leaf,TG
650,KP04_L,KP04_L_28,40.000,-1.493296922,0.032114642,0.010704881,9,Leaf,TG
651,KP04_L,KP04_L_29,30.104,1.577617304,37.81092516,12.60364172,9,Leaf,TG
652,KP04_L,KP04_L_30,33.872,0.408442776,2.561195768,0.853731923,9,Leaf,TG
